X,Y
5.0,0.0
5.015625,-0.00390625
5.03125,0.0078125
5.046875,0.0234375
5.0625,0.1171875
5.078125,-0.35546875
5.09375,0.3984375
5.109375,-0.00390625
5.125,0.01953125
5.140625,0.046875
5.15625,0.0625
5.171875,0.08203125
5.1875,0.08984375
5.203125,0.09375
5.21875,0.078125
5.234375,0.05078125
5.25,0.0234375
5.265625,-0.01171875
5.28125,-0.03515625
5.296875,-0.0703125
5.3125,-0.0859375
5.328125,-0.09765625
5.34375,-0.09765625
5.359375,-0.08203125
5.375,-0.0625
5.390625,-0.03515625
5.40625,0.00390625
5.421875,0.03125
5.4375,0.0625
5.453125,0.078125
5.46875,0.09375
5.484375,0.08984375
5.5,0.09375
5.515625,0.0625
5.53125,0.0390625
5.546875,0.0078125
5.5625,-0.01953125
5.578125,-0.0546875
5.59375,-0.078125
5.609375,-0.09375
5.625,-0.1015625
5.640625,-0.0859375
5.65625,-0.078125
5.671875,-0.0546875
5.6875,-0.0234375
5.703125,0.0078125
5.71875,0.03515625
5.734375,0.05859375
5.75,0.046875
5.765625,0.0546875
5.78125,0.02734375
5.796875,0.0
5.8125,-0.03515625
5.828125,-0.0625
5.84375,-0.0859375
5.859375,-0.10546875
5.875,-0.11328125
5.890625,-0.109375
5.90625,-0.08984375
5.921875,-0.06640625
5.9375,-0.03125
5.953125,0.01171875
5.96875,0.046875
5.984375,0.09375
6.0,0.12890625
6.015625,0.1640625
6.03125,0.1796875
6.046875,0.1953125
6.0625,0.19140625
6.078125,0.171875
6.09375,0.15234375
6.109375,0.1015625
6.125,0.05859375
6.140625,0.00390625
6.15625,-0.05078125
6.171875,-0.1015625
6.1875,-0.140625
6.203125,-0.17578125
6.21875,-0.19140625
6.234375,-0.1953125
6.25,-0.1875
6.265625,-0.15625
6.28125,-0.12109375
6.296875,-0.07421875
6.3125,-0.03515625
6.328125,0.01171875
6.34375,0.0390625
6.359375,0.0703125
6.375,0.08203125
6.390625,0.08984375
6.40625,0.078125
6.421875,0.06640625
6.4375,0.05078125
6.453125,0.02734375
6.46875,0.0078125
6.484375,-0.01953125
6.5,-0.02734375
6.515625,-0.03125
6.53125,-0.03515625
6.546875,-0.03125
6.5625,-0.015625
6.578125,0.0
6.59375,0.0078125
6.609375,0.0234375
6.625,0.03515625
6.640625,0.0390625
6.65625,0.03515625
6.671875,0.0390625
6.6875,0.03125
6.703125,0.0234375
6.71875,0.0078125
6.734375,0.00390625
6.75,-0.0078125
6.765625,-0.0234375
6.78125,-0.0234375
6.796875,-0.03125
6.8125,-0.03125
6.828125,-0.015625
6.84375,-0.015625
6.859375,-0.00390625
6.875,0.0078125
6.890625,0.015625
6.90625,0.015625
6.921875,0.0234375
6.9375,0.0234375
6.953125,0.01953125
6.96875,0.01171875
6.984375,0.0078125
7.0,-0.0078125
7.015625,-0.015625
7.03125,-0.02734375
7.046875,-0.02734375
7.0625,-0.03125
7.078125,-0.03515625
7.09375,-0.03515625
7.109375,-0.0390625
7.125,-0.0390625
7.140625,-0.03125
7.15625,-0.03125
7.171875,-0.03515625
7.1875,-0.02734375
7.203125,-0.03125
7.21875,-0.02734375
7.234375,-0.0234375
7.25,-0.00390625
7.265625,0.0078125
7.28125,0.0234375
7.296875,0.04296875
7.3125,0.0625
7.328125,0.078125
7.34375,0.08203125
7.359375,0.08203125
7.375,0.078125
7.390625,0.06640625
7.40625,0.046875
7.421875,0.0234375
7.4375,0.0
7.453125,-0.0234375
7.46875,-0.04296875
7.484375,-0.0625
7.5,-0.0703125
7.515625,-0.0703125
7.53125,-0.06640625
7.546875,-0.05859375
7.5625,-0.04296875
7.578125,-0.03125
7.59375,-0.01953125
7.609375,-0.0078125
7.625,0.0078125
7.640625,0.015625
7.65625,0.0234375
7.671875,0.0234375
7.6875,0.0234375
7.703125,0.01953125
7.71875,0.015625
7.734375,0.0078125
7.75,0.01171875
7.765625,0.00390625
7.78125,-0.00390625
7.796875,-0.0078125
7.8125,-0.0078125
7.828125,-0.01171875
7.84375,-0.0078125
7.859375,0.01171875
7.875,0.01171875
7.890625,0.0234375
7.90625,0.0390625
7.921875,0.0546875
7.9375,0.06640625
7.953125,0.078125
7.96875,0.0859375
7.984375,0.0859375
8.0,0.08203125
8.015625,0.09375
8.03125,0.07421875
8.046875,0.0625
8.0625,0.0546875
8.078125,0.02734375
8.09375,0.01171875
8.109375,-0.015625
8.125,-0.04296875
8.140625,-0.0625
8.15625,-0.08984375
8.171875,-0.09765625
8.1875,-0.1015625
8.203125,-0.08984375
8.21875,-0.06640625
8.234375,-0.046875
8.25,0.0
8.265625,0.046875
8.28125,0.08203125
8.296875,0.12109375
8.3125,0.13671875
8.328125,0.140625
8.34375,0.12890625
8.359375,0.08984375
8.375,0.046875
8.390625,-0.015625
8.40625,-0.08984375
8.421875,-0.14453125
8.4375,-0.20703125
8.453125,-0.25
8.46875,-0.28125
8.484375,-0.27734375
8.5,-0.26953125
8.515625,-0.21875
8.53125,-0.1640625
8.546875,-0.078125
8.5625,-0.00390625
8.578125,0.09375
8.59375,0.18359375
8.609375,0.26953125
8.625,0.3359375
8.640625,0.38671875
8.65625,0.4375
8.671875,0.45703125
8.6875,0.46875
8.703125,0.46484375
8.71875,0.4375
8.734375,0.41015625
8.75,0.36328125
8.765625,0.31640625
8.78125,0.25
8.796875,0.18359375
8.8125,0.1171875
8.828125,0.05859375
8.84375,-0.00390625
8.859375,-0.0546875
8.875,-0.1015625
8.890625,-0.125
8.90625,-0.140625
8.921875,-0.1484375
8.9375,-0.14453125
8.953125,-0.1328125
8.96875,-0.1328125
8.984375,-0.1328125
9.0,-0.12890625
9.015625,-0.14453125
9.03125,-0.15234375
9.046875,-0.1640625
9.0625,-0.171875
9.078125,-0.17578125
9.09375,-0.1640625
9.109375,-0.13671875
9.125,-0.08984375
9.140625,-0.03515625
9.15625,0.02734375
9.171875,0.1015625
9.1875,0.17578125
9.203125,0.2421875
9.21875,0.2890625
9.234375,0.32421875
9.25,0.34765625
9.265625,0.33984375
9.28125,0.32421875
9.296875,0.27734375
9.3125,0.23046875
9.328125,0.17578125
9.34375,0.11328125
9.359375,0.0625
9.375,0.015625
9.390625,-0.0234375
9.40625,-0.0390625
9.421875,-0.04296875
9.4375,-0.03515625
9.453125,-0.01171875
9.46875,0.015625
9.484375,0.046875
9.5,0.07421875
9.515625,0.109375
9.53125,0.1171875
9.546875,0.12109375
9.5625,0.1171875
9.578125,0.09765625
9.59375,0.0859375
9.609375,0.06640625
9.625,0.046875
9.640625,0.03125
9.65625,0.015625
9.671875,0.0234375
9.6875,0.015625
9.703125,0.015625
9.71875,0.0
9.734375,-0.0078125
9.75,-0.01171875
9.765625,-0.0234375
9.78125,-0.05078125
9.796875,-0.06640625
9.8125,-0.08984375
9.828125,-0.11328125
9.84375,-0.1171875
9.859375,-0.12890625
9.875,-0.125
9.890625,-0.11328125
9.90625,-0.0859375
9.921875,-0.0546875
9.9375,-0.015625
9.953125,0.0234375
9.96875,0.07421875
9.984375,0.11328125
10.0,0.15625
10.015625,0.1875
10.03125,0.21875
10.046875,0.2421875
10.0625,0.25
10.078125,0.2578125
10.09375,0.25
10.109375,0.24609375
10.125,0.2265625
10.140625,0.1953125
10.15625,0.17578125
10.171875,0.140625
10.1875,0.109375
10.203125,0.08203125
10.21875,0.05859375
10.234375,0.03515625
10.25,0.015625
10.265625,0.0078125
10.28125,-0.01171875
10.296875,-0.01953125
10.3125,-0.0234375
10.328125,-0.0234375
10.34375,-0.015625
10.359375,-0.01171875
10.375,-0.0078125
10.390625,0.00390625
10.40625,0.01171875
10.421875,0.01953125
10.4375,0.0234375
10.453125,0.02734375
10.46875,0.0078125
10.484375,0.0
10.5,-0.01171875
10.515625,-0.03125
10.53125,-0.05078125
10.546875,-0.0625
10.5625,-0.0703125
10.578125,-0.078125
10.59375,-0.07421875
10.609375,-0.0546875
10.625,-0.03125
10.640625,-0.0078125
10.65625,0.03125
10.671875,0.0625
10.6875,0.1015625
10.703125,0.1328125
10.71875,0.15234375
10.734375,0.171875
10.75,0.1796875
10.765625,0.1875
10.78125,0.18359375
10.796875,0.16796875
10.8125,0.1484375
10.828125,0.1328125
10.84375,0.11328125
10.859375,0.1015625
10.875,0.078125
10.890625,0.0703125
10.90625,0.0703125
10.921875,0.05859375
10.9375,0.0625
10.953125,0.06640625
10.96875,0.0703125
10.984375,0.0703125
11.0,0.08984375
11.015625,0.09765625
11.03125,0.1015625
11.046875,0.109375
11.0625,0.11328125
11.078125,0.11328125
11.09375,0.10546875
11.109375,0.0859375
11.125,0.0703125
11.140625,0.0390625
11.15625,0.0078125
11.171875,-0.03125
11.1875,-0.0625
11.203125,-0.10546875
11.21875,-0.12890625
11.234375,-0.14453125
11.25,-0.15625
11.265625,-0.1484375
11.28125,-0.12890625
11.296875,-0.1015625
11.3125,-0.0625
11.328125,-0.015625
11.34375,0.02734375
11.359375,0.07421875
11.375,0.12109375
11.390625,0.16796875
11.40625,0.19140625
11.421875,0.21484375
11.4375,0.21875
11.453125,0.21875
11.46875,0.20703125
11.484375,0.19140625
11.5,0.16015625
11.515625,0.1328125
11.53125,0.109375
11.546875,0.07421875
11.5625,0.04296875
11.578125,0.0234375
11.59375,0.0
11.609375,-0.02734375
11.625,-0.03515625
11.640625,-0.046875
11.65625,-0.046875
11.671875,-0.046875
11.6875,-0.04296875
11.703125,-0.03125
11.71875,-0.0234375
11.734375,-0.0078125
11.75,0.0078125
11.765625,0.0234375
11.78125,0.04296875
11.796875,0.05078125
11.8125,0.0625
11.828125,0.06640625
11.84375,0.0703125
11.859375,0.078125
11.875,0.08203125
11.890625,0.07421875
11.90625,0.0703125
11.921875,0.06640625
11.9375,0.0625
11.953125,0.0625
11.96875,0.05859375
11.984375,0.046875
12.0,0.05078125
12.015625,0.0546875
12.03125,0.05859375
12.046875,0.07421875
12.0625,0.07421875
12.078125,0.08203125
12.09375,0.09375
12.109375,0.0859375
12.125,0.0859375
12.140625,0.078125
12.15625,0.078125
12.171875,0.05078125
12.1875,0.04296875
12.203125,0.03125
12.21875,0.01171875
12.234375,-0.0078125
12.25,-0.015625
12.265625,-0.015625
12.28125,-0.0234375
12.296875,-0.01953125
12.3125,-0.015625
12.328125,0.0
12.34375,0.015625
12.359375,0.02734375
12.375,0.0390625
12.390625,0.0546875
12.40625,0.0625
12.421875,0.0625
12.4375,0.06640625
12.453125,0.0625
12.46875,0.06640625
12.484375,0.05859375
12.5,0.0546875
12.515625,0.046875
12.53125,0.04296875
12.546875,0.04296875
12.5625,0.03125
12.578125,0.0390625
12.59375,0.0390625
12.609375,0.03515625
12.625,0.05078125
12.640625,0.0546875
12.65625,0.0546875
12.671875,0.078125
12.6875,0.08203125
12.703125,0.09375
12.71875,0.109375
12.734375,0.12109375
12.75,0.125
12.765625,0.13671875
12.78125,0.1328125
12.796875,0.1328125
12.8125,0.12890625
12.828125,0.11328125
12.84375,0.09375
12.859375,0.08203125
12.875,0.06640625
12.890625,0.046875
12.90625,0.02734375
12.921875,0.015625
12.9375,0.0
12.953125,-0.015625
12.96875,-0.015625
12.984375,-0.03125
13.0,-0.03125
13.015625,-0.01953125
13.03125,-0.02734375
13.046875,-0.01953125
13.0625,-0.015625
13.078125,-0.0078125
13.09375,0.0
13.109375,0.0078125
13.125,0.015625
13.140625,0.0234375
13.15625,0.02734375
13.171875,0.01953125
13.1875,0.03125
13.203125,0.0234375
13.21875,0.03125
13.234375,0.02734375
13.25,0.0390625
13.265625,0.046875
13.28125,0.0546875
13.296875,0.0625
13.3125,0.0703125
13.328125,0.0859375
13.34375,0.0859375
13.359375,0.09765625
13.375,0.1015625
13.390625,0.11328125
13.40625,0.109375
13.421875,0.10546875
13.4375,0.09765625
13.453125,0.09765625
13.46875,0.08984375
13.484375,0.078125
13.5,0.0703125
13.515625,0.0625
13.53125,0.05078125
13.546875,0.04296875
13.5625,0.046875
13.578125,0.03515625
13.59375,0.04296875
13.609375,0.03125
13.625,0.03125
13.640625,0.03125
13.65625,0.03125
13.671875,0.03515625
13.6875,0.0390625
13.703125,0.0390625
13.71875,0.046875
13.734375,0.046875
13.75,0.0546875
13.765625,0.0546875
13.78125,0.05078125
13.796875,0.04296875
13.8125,0.03515625
13.828125,0.02734375
13.84375,0.015625
13.859375,0.015625
13.875,-0.0078125
13.890625,-0.01171875
13.90625,-0.01953125
13.921875,-0.02734375
13.9375,-0.03125
13.953125,-0.02734375
13.96875,-0.03125
13.984375,-0.03125
14.0,-0.01171875
14.015625,-0.00390625
14.03125,0.00390625
14.046875,0.01953125
14.0625,0.03125
14.078125,0.05078125
14.09375,0.0625
14.109375,0.08203125
14.125,0.1015625
14.140625,0.12109375
14.15625,0.12890625
14.171875,0.1328125
14.1875,0.15234375
14.203125,0.15625
14.21875,0.15625
14.234375,0.14453125
14.25,0.1484375
14.265625,0.12890625
14.28125,0.11328125
14.296875,0.1015625
14.3125,0.07421875
14.328125,0.0546875
14.34375,0.02734375
14.359375,0.01171875
14.375,0.0
14.390625,-0.0234375
14.40625,-0.0234375
14.421875,-0.0390625
14.4375,-0.03125
14.453125,-0.02734375
14.46875,-0.03125
14.484375,-0.015625
14.5,-0.0078125
14.515625,0.0078125
14.53125,0.015625
14.546875,0.01953125
14.5625,0.03125
14.578125,0.03125
14.59375,0.0390625
14.609375,0.0390625
14.625,0.0234375
14.640625,0.03125
14.65625,0.02734375
14.671875,0.015625
14.6875,0.02734375
14.703125,0.0234375
14.71875,0.02734375
14.734375,0.02734375
14.75,0.0390625
14.765625,0.05078125
14.78125,0.05078125
14.796875,0.06640625
14.8125,0.08203125
14.828125,0.078125
14.84375,0.09375
14.859375,0.08984375
14.875,0.09765625
14.890625,0.09765625
14.90625,0.09765625
14.921875,0.1015625
14.9375,0.1015625
14.953125,0.10546875
14.96875,0.08984375
14.984375,0.08984375
15.0,0.0859375
15.015625,0.08203125
15.03125,0.06640625
15.046875,0.05859375
15.0625,0.05859375
15.078125,0.046875
15.09375,0.0390625
15.109375,0.03125
15.125,0.03515625
15.140625,0.02734375
15.15625,0.03125
15.171875,0.02734375
15.1875,0.01953125
15.203125,0.02734375
15.21875,0.0234375
15.234375,0.0234375
15.25,0.015625
15.265625,0.015625
15.28125,0.015625
15.296875,0.0078125
15.3125,0.00390625
15.328125,0.0078125
15.34375,-0.0078125
15.359375,-0.0078125
15.375,-0.00390625
15.390625,-0.00390625
15.40625,0.0
15.421875,0.0
15.4375,0.0078125
15.453125,0.0234375
15.46875,0.02734375
15.484375,0.03515625
15.5,0.05078125
15.515625,0.06640625
15.53125,0.0703125
15.546875,0.07421875
15.5625,0.0859375
15.578125,0.0859375
15.59375,0.0859375
15.609375,0.08984375
15.625,0.0859375
15.640625,0.08203125
15.65625,0.0859375
15.671875,0.07421875
15.6875,0.07421875
15.703125,0.06640625
15.71875,0.05859375
15.734375,0.05859375
15.75,0.046875
15.765625,0.04296875
15.78125,0.03515625
15.796875,0.03515625
15.8125,0.03125
15.828125,0.03125
15.84375,0.03125
15.859375,0.0234375
15.875,0.0234375
15.890625,0.02734375
15.90625,0.03125
15.921875,0.03515625
15.9375,0.04296875
15.953125,0.0390625
15.96875,0.03515625
15.984375,0.05078125
16.0,0.046875
16.015625,0.0546875
16.03125,0.046875
16.046875,0.04296875
16.0625,0.05078125
16.078125,0.05078125
16.09375,0.046875
16.109375,0.04296875
16.125,0.03125
16.140625,0.03515625
16.15625,0.03515625
16.171875,0.0234375
16.1875,0.0234375
16.203125,0.0234375
16.21875,0.015625
16.234375,0.01171875
16.25,0.01171875
16.265625,0.015625
16.28125,0.0234375
16.296875,0.015625
16.3125,0.015625
16.328125,0.02734375
16.34375,0.02734375
16.359375,0.03515625
16.375,0.0390625
16.390625,0.0390625
16.40625,0.04296875
16.421875,0.0546875
16.4375,0.0546875
16.453125,0.05859375
16.46875,0.05859375
16.484375,0.05859375
16.5,0.0625
16.515625,0.05859375
16.53125,0.0625
16.546875,0.06640625
16.5625,0.05859375
16.578125,0.05859375
16.59375,0.0546875
16.609375,0.05078125
16.625,0.05078125
16.640625,0.046875
16.65625,0.04296875
16.671875,0.0390625
16.6875,0.02734375
16.703125,0.0234375
16.71875,0.02734375
16.734375,0.0234375
16.75,0.01953125
16.765625,0.0234375
16.78125,0.0234375
16.796875,0.0234375
16.8125,0.03125
16.828125,0.04296875
16.84375,0.04296875
16.859375,0.05078125
16.875,0.05078125
16.890625,0.0546875
16.90625,0.0625
16.921875,0.0625
16.9375,0.06640625
16.953125,0.0703125
16.96875,0.05859375
16.984375,0.0625
17.0,0.046875
17.015625,0.04296875
17.03125,0.0390625
17.046875,0.02734375
17.0625,0.01953125
17.078125,0.015625
17.09375,0.01171875
17.109375,0.00390625
17.125,0.01171875
17.140625,0.015625
17.15625,0.01171875
17.171875,0.0078125
17.1875,0.01171875
17.203125,0.01953125
17.21875,0.02734375
17.234375,0.03125
17.25,0.03515625
17.265625,0.04296875
17.28125,0.04296875
17.296875,0.0390625
17.3125,0.05078125
17.328125,0.05078125
17.34375,0.0546875
17.359375,0.0546875
17.375,0.06640625
17.390625,0.07421875
17.40625,0.0703125
17.421875,0.07421875
17.4375,0.07421875
17.453125,0.078125
17.46875,0.078125
17.484375,0.078125
17.5,0.0703125
17.515625,0.0703125
17.53125,0.0703125
17.546875,0.0625
17.5625,0.05859375
17.578125,0.05859375
17.59375,0.0546875
17.609375,0.05078125
17.625,0.04296875
17.640625,0.046875
17.65625,0.0390625
17.671875,0.0390625
17.6875,0.03125
17.703125,0.02734375
17.71875,0.02734375
17.734375,0.01953125
17.75,0.01953125
17.765625,0.01953125
17.78125,0.01171875
17.796875,0.01171875
17.8125,0.0078125
17.828125,0.01171875
