X,Y,predicted_label
5.0,-0.0078125,Density 70%
5.015625,-0.015625,Density 70%
5.03125,-0.0078125,Density 70%
5.046875,0.0234375,Density 70%
5.0625,0.1171875,Density 70%
5.078125,-0.35546875,Density 90%
5.09375,-0.04296875,Density 30%
5.109375,-0.28515625,Density 90%
5.125,-0.2421875,Density 30%
5.140625,-0.265625,Density 90%
5.15625,-0.33203125,Density 90%
5.171875,-0.4296875,Density 90%
5.1875,-0.49609375,Density 90%
5.203125,-0.53515625,Density 90%
5.21875,-0.51171875,Density 90%
5.234375,-0.42578125,Density 90%
5.25,-0.30078125,Density 90%
5.265625,-0.13671875,Density 30%
5.28125,0.04296875,Density 70%
5.296875,0.2109375,Density 70%
5.3125,0.34765625,Density 90%
5.328125,0.46484375,Density 90%
5.34375,0.54296875,Density 90%
5.359375,0.5625,Density 90%
5.375,0.546875,Density 90%
5.390625,0.48828125,Density 90%
5.40625,0.37109375,Density 90%
5.421875,0.21875,Density 70%
5.4375,0.01171875,Density 70%
5.453125,-0.22265625,Density 90%
5.46875,-0.48828125,Density 90%
5.484375,-0.765625,Density 90%
5.5,-1.0,Density 90%
5.515625,-1.17578125,Density 30%
5.53125,-1.25390625,Density 30%
5.546875,-1.203125,Density 30%
5.5625,-1.00390625,Density 30%
5.578125,-0.66796875,Density 90%
5.59375,-0.2265625,Density 90%
5.609375,0.25,Density 90%
5.625,0.72265625,Density 90%
5.640625,1.0859375,Density 30%
5.65625,1.19140625,Density 30%
5.671875,0.96484375,Density 30%
5.6875,1.4140625,Density 30%
5.703125,1.078125,Density 30%
5.71875,0.5390625,Density 90%
5.734375,0.04296875,Density 70%
5.75,-0.48046875,Density 90%
5.765625,-0.95703125,Density 30%
5.78125,-1.30078125,Density 30%
5.796875,-1.50390625,Density 30%
5.8125,-1.484375,Density 30%
5.828125,-1.42578125,Density 30%
5.84375,-1.36328125,Density 30%
5.859375,-1.12890625,Density 30%
5.875,-0.671875,Density 90%
5.890625,-0.296875,Density 90%
5.90625,0.08203125,Density 70%
5.921875,0.43359375,Density 90%
5.9375,0.70703125,Density 90%
5.953125,0.89453125,Density 30%
5.96875,0.95703125,Density 30%
5.984375,0.86328125,Density 90%
6.0,0.72265625,Density 90%
6.015625,0.5390625,Density 90%
6.03125,0.33203125,Density 90%
6.046875,-0.078125,Density 30%
6.0625,-0.375,Density 90%
6.078125,-0.62890625,Density 90%
6.09375,-0.765625,Density 30%
6.109375,-0.79296875,Density 30%
6.125,-0.7265625,Density 90%
6.140625,-0.55078125,Density 90%
6.15625,-0.328125,Density 90%
6.171875,-0.08203125,Density 30%
6.1875,0.1328125,Density 70%
6.203125,0.3046875,Density 90%
6.21875,0.3984375,Density 90%
6.234375,0.421875,Density 90%
6.25,0.38671875,Density 90%
6.265625,0.30078125,Density 90%
6.28125,0.1875,Density 70%
6.296875,0.078125,Density 70%
6.3125,-0.015625,Density 30%
6.328125,-0.0546875,Density 30%
6.34375,-0.08203125,Density 30%
6.359375,-0.0546875,Density 30%
6.375,-0.015625,Density 30%
6.390625,0.02734375,Density 70%
6.40625,0.05859375,Density 70%
6.421875,0.0546875,Density 70%
6.4375,0.03515625,Density 70%
6.453125,-0.03125,Density 30%
6.46875,-0.1328125,Density 90%
